,text,project_name
99,autoindex,building_tool.txt
102,facemap,building_tool.txt
1482,sizeoffsetproperty,building_tool.txt
1531,archproperty,building_tool.txt
1608,trackedproperty,building_tool.txt
1618,facemapmaterial,building_tool.txt
2060,roofproperty,building_tool.txt
2334,floorplanproperty,building_tool.txt
2618,floorproperty,building_tool.txt
2923,stairsproperty,building_tool.txt
3036,windowproperty,building_tool.txt
3431,for,espnet.txt
3493,onehot,espnet.txt
3540,upsampling,espnet.txt
3566,wavenet,espnet.txt
3828,encoder,espnet.txt
3965,zoneoutcell,espnet.txt
4022,prenet,espnet.txt
4063,postnet,espnet.txt
4170,decoder,espnet.txt
4534,cbhgloss,espnet.txt
4562,cbhg,espnet.txt
4714,highwaynet,espnet.txt
4817,featuretransform,espnet.txt
4873,logmel,espnet.txt
4919,globalmvn,espnet.txt
4966,utterancemvn,espnet.txt
5038,frontend,espnet.txt
5247,maskestimator,espnet.txt
5409,attentionreference,espnet.txt
5488,multiheadedattention,espnet.txt
5551,labelsmoothingloss,espnet.txt
6095,plotattentionreport,espnet.txt
6126,layernorm,espnet.txt
6150,noamopt,espnet.txt
6211,positionwisefeedforward,espnet.txt
6250,positionalencoding,espnet.txt
6292,scaledpositionalencoding,espnet.txt
6366,encoderlayer,espnet.txt
6562,decoderlayer,espnet.txt
6667,multisequential,espnet.txt
6690,lengthregulator,espnet.txt
6755,durationpredictor,espnet.txt
6835,durationpredictorloss,espnet.txt
6871,durationcalculator,espnet.txt
6950,defaultrnnlm,espnet.txt
7094,classifierwithstate,espnet.txt
7187,rnnlm,espnet.txt
7265,sequentialrnnlm,espnet.txt
7421,transformerlm,espnet.txt
7580,rnnp,espnet.txt
7647,rnn,espnet.txt
7922,noatt,espnet.txt
7962,attdot,espnet.txt
8026,attadd,espnet.txt
8091,attloc,espnet.txt
8205,attcov,espnet.txt
8389,attlocrec,espnet.txt
8492,attcovloc,espnet.txt
8587,attmultiheaddot,espnet.txt
8684,attmultiheadadd,espnet.txt
8784,attmultiheadloc,espnet.txt
8920,attmultiheadmultiresloc,espnet.txt
9055,attforward,espnet.txt
9166,attforwardta,espnet.txt
10714,transloss,espnet.txt
10831,decoderrnnt,espnet.txt
11060,decoderrnntatt,espnet.txt
11738,ctcprefixscorer,espnet.txt
11794,lengthbonus,espnet.txt
12264,chmodel,espnet.txt
12271,thmodel,espnet.txt
14708,foobar,espnet.txt
14742,masked,espnet.txt
16876,legacypositionalencoding,espnet.txt
16898,legacyscaledpositionalencoding,espnet.txt
18977,import,espnet.txt
20894,dummyreportedvalue,espnet.txt
21274,model,espnet.txt
21340,named,espnet.txt
21721,dummy,espnet.txt
22444,horovodinternalerror,horovod.txt
22449,hostsupdatedinterrupt,horovod.txt
22476,tensorqueue,horovod.txt
22521,horovodbasics,horovod.txt
22522,for,horovod.txt
22696,fusionbuffermanager,horovod.txt
22746,threadpool,horovod.txt
22769,loglevel,horovod.txt
22773,logmessage,horovod.txt
22786,logmessagefatal,horovod.txt
23763,gaussianprocessregressor,horovod.txt
24014,bayesianoptimization,horovod.txt
24303,gloostore,horovod.txt
24332,gloocontroller,horovod.txt
24398,memorystore,horovod.txt
24598,httpstore,horovod.txt
25258,libtype,horovod.txt
26470,gpucontext,horovod.txt
26862,mpiallreduce,horovod.txt
26873,mpiallgather,horovod.txt
26883,mpihierarchicalallgather,horovod.txt
26893,mpibroadcast,horovod.txt
27304,iglooalgorithms,horovod.txt
27313,glooalgorithms,horovod.txt
27325,glooallreduce,horovod.txt
27337,glooallgather,horovod.txt
27348,gloobroadcast,horovod.txt
27384,adasummpiallreduceop,horovod.txt
27930,ddlallreduce,horovod.txt
28056,gpuopcontext,horovod.txt
28079,gpuallreduce,horovod.txt
28094,gpuallgather,horovod.txt
28110,gpubroadcast,horovod.txt
28145,adasumgpuallreduceop,horovod.txt
28188,operationmanager,horovod.txt
28242,horovodop,horovod.txt
28251,allreduceop,horovod.txt
28276,allgatherop,horovod.txt
28316,broadcastop,horovod.txt
28326,joinop,horovod.txt
28333,errorop,horovod.txt
28376,ncclopcontext,horovod.txt
28394,ncclallreduce,horovod.txt
28410,ncclbroadcast,horovod.txt
28426,ncclhierarchicalallreduce,horovod.txt
28442,ncclallgather,horovod.txt
28527,cclallreduce,horovod.txt
28542,cclallgather,horovod.txt
28552,cclbroadcast,horovod.txt
28587,adasummpi,horovod.txt
28645,adasum,horovod.txt
29320,mpicontextmanager,horovod.txt
29385,mpicontroller,horovod.txt
30450,intentionally,horovod.txt
30818,tensorutil,horovod.txt
30983,distributedoptimizer,horovod.txt
31019,distributedtrainer,horovod.txt
31372,mxpersistentbuffer,horovod.txt
31381,mxtensor,horovod.txt
31391,mxopcontext,horovod.txt
31482,torchpersistentbuffer,horovod.txt
31491,torchtensor,horovod.txt
31501,torchopcontext,horovod.txt
31749,compressor,horovod.txt
31759,nonecompressor,horovod.txt
31787,compression,horovod.txt
32142,handlemanager,horovod.txt
32257,syncbatchnorm,horovod.txt
32426,torchstate,horovod.txt
32845,that,horovod.txt
32986,horovodallreduce,horovod.txt
33097,horovodallgather,horovod.txt
33161,horovodbroadcast,horovod.txt
33722,torchreadyevent,horovod.txt
34640,torchtemporarybuffer,horovod.txt
34750,commitstatecallbackimpl,horovod.txt
34762,updatebatchstatecallbackimpl,horovod.txt
34777,updateepochstatecallbackimpl,horovod.txt
34801,broadcastglobalvariablescallbackimpl,horovod.txt
34822,metricaveragecallbackimpl,horovod.txt
34858,learningrateschedulecallbackimpl,horovod.txt
34927,learningratewarmupcallbackimpl,horovod.txt
35015,will,horovod.txt
35064,empty,horovod.txt
35066,hasoutputcols,horovod.txt
35068,params,horovod.txt
35185,treemock,horovod.txt
35434,pyclient,jina.txt
35606,mytestcase,jina.txt
35816,dummyindexer,jina.txt
36891,jinatestcase,jina.txt
36926,slowworker,jina.txt
36966,mwuencoder,jina.txt
36973,mwuupdater,jina.txt
36981,myawesomedriver,jina.txt
36990,dummya,jina.txt
36995,dummyb,jina.txt
37058,executortestcase,jina.txt
37094,rankertestcase,jina.txt
37149,mnisttfservingclientencoder,jina.txt
37237,pytorchtestcase,jina.txt
37243,tftestcase,jina.txt
37264,nlptestcase,jina.txt
37348,numerictestcase,jina.txt
37429,testnet,jina.txt
37485,imagetestcase,jina.txt
37565,videotestcase,jina.txt
37632,dummysegment,jina.txt
37838,jinaimagetestcase,jina.txt
38018,dummyexternalindexer,jina.txt
38885,mutablepod,jina.txt
38889,flowpod,jina.txt
39065,gatewaypod,jina.txt
39075,gatewayflowpod,jina.txt
39102,peameta,jina.txt
39118,according,jina.txt
39156,basepea,jina.txt
39332,inherited,jina.txt
39476,drivertype,jina.txt
39490,basedriver,jina.txt
39570,baseexecutabledriver,jina.txt
39650,executortype,jina.txt
39661,attribute,jina.txt
39686,baseexecutor,jina.txt
39792,members,jina.txt
40164,anchorgenerator,PaddleHub.txt
40176,rpntargetassign,PaddleHub.txt
40192,generateproposals,PaddleHub.txt
40206,rpnhead,PaddleHub.txt
40429,fpnrpnhead,PaddleHub.txt
40639,fpnroialign,PaddleHub.txt
40719,resnet,PaddleHub.txt
41270,multiclassnms,PaddleHub.txt
41304,boxcoder,PaddleHub.txt
41315,twofchead,PaddleHub.txt
41343,bboxhead,PaddleHub.txt
41418,label,PaddleHub.txt
41496,nameadapter,PaddleHub.txt
43122,vgg,PaddleHub.txt
43132,while,PaddleHub.txt
43332,decodeimage,PaddleHub.txt
43345,resizeimage,PaddleHub.txt
43416,normalizeimage,PaddleHub.txt
43449,permute,PaddleHub.txt
44123,fpn,PaddleHub.txt
45112,retinatargetassign,PaddleHub.txt
45117,retinaoutputdecoder,PaddleHub.txt
45131,retinahead,PaddleHub.txt
45142,prediction,PaddleHub.txt
45183,predictions,PaddleHub.txt
45490,mobilenet,PaddleHub.txt
46593,bboxassigner,PaddleHub.txt
49234,darknet,PaddleHub.txt
52193,roialign,PaddleHub.txt
53731,styleprojection,PaddleHub.txt
54593,videotag,PaddleHub.txt
54787,attrdict,PaddleHub.txt
55061,notimplementerror,PaddleHub.txt
55070,modelnotfounderror,PaddleHub.txt
55082,modelbase,PaddleHub.txt
55134,modelzoo,PaddleHub.txt
55395,tsn,PaddleHub.txt
55552,attentionlstm,PaddleHub.txt
55675,lstmattentionmodel,PaddleHub.txt
55763,kineticsreader,PaddleHub.txt
55945,readernotfounderror,PaddleHub.txt
55957,datareader,PaddleHub.txt
55970,readerzoo,PaddleHub.txt
56015,metrics,PaddleHub.txt
56099,metricszoo,PaddleHub.txt
56235,evaluationmetrics,PaddleHub.txt
56357,meanaverageprecisioncalculator,PaddleHub.txt
56365,will,PaddleHub.txt
56373,must,PaddleHub.txt
56465,averageprecisioncalculator,PaddleHub.txt
56658,sentatest,PaddleHub.txt
56739,averagemeter,PaddleHub.txt
57481,readerconfig,PaddleHub.txt
58599,transformerclassifier,PaddleHub.txt
